loc,number,disease,increase,year,population
RHODE ISLAND,3369,MEASLES,467.72,1940,719000
SOUTH CAROLINA,618,MEASLES,32.32,1940,1902000
SOUTH DAKOTA,1631,MEASLES,253.83,1940,641000
TENNESSEE,2797,MEASLES,95.17,1940,2935000
TEXAS,16060,MEASLES,249.88,1940,6425000
UTAH,7531,MEASLES,1363.22,1940,552000
VERMONT,880,MEASLES,241.07,1940,363000
VIRGINIA,5550,MEASLES,203.84,1940,2720000
WASHINGTON,16005,MEASLES,919.59,1940,1740000
WEST VIRGINIA,574,MEASLES,29.79,1940,1907000
WISCONSIN,20007,MEASLES,636.45,1940,3143000
WYOMING,990,MEASLES,393.6,1940,250000
ALABAMA,1235,PERTUSSIS,43.18,1940,2845000
ARIZONA,892,PERTUSSIS,177.49,1940,499000
ARKANSAS,811,PERTUSSIS,41.16,1940,1955000
CALIFORNIA,12668,PERTUSSIS,182.2,1940,6950000
COLORADO,1251,PERTUSSIS,110.15,1940,1130000
CONNECTICUT,3072,PERTUSSIS,179.43,1940,1708000
DELAWARE,609,PERTUSSIS,223.45,1940,269000
DISTRICT OF COLUMBIA,755,PERTUSSIS,108.37,1940,690000
FLORIDA,669,PERTUSSIS,34.45,1940,1915000
GEORGIA,1114,PERTUSSIS,35.51,1940,3119000
IDAHO,392,PERTUSSIS,73.76,1940,522000
ILLINOIS,8388,PERTUSSIS,106.02,1940,7905000
INDIANA,1672,PERTUSSIS,48.49,1940,3433000
IOWA,1083,PERTUSSIS,42.35,1940,2537000
KANSAS,2145,PERTUSSIS,119.49,1940,1788000
KENTUCKY,3058,PERTUSSIS,106.71,1940,2859000
LOUISIANA,924,PERTUSSIS,38.71,1940,2370000
MAINE,1728,PERTUSSIS,202.66,1940,849000
MARYLAND,4842,PERTUSSIS,262.79,1940,1839000
MASSACHUSETTS,7943,PERTUSSIS,183.81,1940,4318000
MICHIGAN,10991,PERTUSSIS,206.69,1940,5315000
MINNESOTA,2367,PERTUSSIS,84.6,1940,2790000
MISSOURI,1486,PERTUSSIS,39.1,1940,3786000
MONTANA,232,PERTUSSIS,40.46,1940,558000
NEBRASKA,446,PERTUSSIS,33.3,1940,1316000
NEVADA,5,PERTUSSIS,4.42,1940,113000
NEW HAMPSHIRE,279,PERTUSSIS,55.9,1940,492000
NEW JERSEY,7913,PERTUSSIS,189.4,1940,4175000
NEW MEXICO,1380,PERTUSSIS,258.52,1940,531000
NEW YORK,19125,PERTUSSIS,142.09,1940,13456000
NORTH CAROLINA,7011,PERTUSSIS,195.91,1940,3574000
NORTH DAKOTA,678,PERTUSSIS,104.89,1940,640000
OHIO,11045,PERTUSSIS,159.36,1940,6929000
OKLAHOMA,573,PERTUSSIS,24.36,1940,2325000
OREGON,1056,PERTUSSIS,96.43,1940,1086000
PENNSYLVANIA,20160,PERTUSSIS,203.65,1940,9896000
RHODE ISLAND,849,PERTUSSIS,117.36,1940,719000
SOUTH CAROLINA,1610,PERTUSSIS,84.44,1940,1902000
SOUTH DAKOTA,182,PERTUSSIS,27.36,1940,641000
TENNESSEE,2118,PERTUSSIS,71.91,1940,2935000
TEXAS,8214,PERTUSSIS,127.74,1940,6425000
UTAH,3972,PERTUSSIS,718.56,1940,552000
VERMONT,1377,PERTUSSIS,378,1940,363000
VIRGINIA,3084,PERTUSSIS,113.14,1940,2720000
WASHINGTON,2026,PERTUSSIS,116.03,1940,1740000
WEST VIRGINIA,1843,PERTUSSIS,96.21,1940,1907000
WISCONSIN,7070,PERTUSSIS,224.74,1940,3143000
WYOMING,207,PERTUSSIS,79.8,1940,250000
ALABAMA,51,POLIO,1.62,1940,2845000
ARIZONA,31,POLIO,5,1940,499000
ARKANSAS,33,POLIO,1.39,1940,1955000
CALIFORNIA,571,POLIO,8.11,1940,6950000
COLORADO,44,POLIO,3.58,1940,1130000
CONNECTICUT,20,POLIO,1.11,1940,1708000
DELAWARE,2,POLIO,0.56,1940,269000
DISTRICT OF COLUMBIA,12,POLIO,1.35,1940,690000
FLORIDA,49,POLIO,2.27,1940,1915000
GEORGIA,52,POLIO,1.5,1940,3119000
IDAHO,48,POLIO,8.69,1940,522000
ILLINOIS,464,POLIO,5.77,1940,7905000
INDIANA,432,POLIO,12.45,1940,3433000
IOWA,590,POLIO,23.17,1940,2537000
KANSAS,343,POLIO,18.95,1940,1788000
KENTUCKY,160,POLIO,5.37,1940,2859000
LOUISIANA,94,POLIO,3.69,1940,2370000
MAINE,9,POLIO,0.78,1940,849000
MARYLAND,16,POLIO,0.71,1940,1839000
MASSACHUSETTS,50,POLIO,1,1940,4318000
MICHIGAN,1118,POLIO,20.95,1940,5315000
MINNESOTA,302,POLIO,10.78,1940,2790000
MISSISSIPPI,46,POLIO,1.9,1940,2176000
MISSOURI,220,POLIO,5.68,1940,3786000
MONTANA,60,POLIO,10.42,1940,558000
NEBRASKA,143,POLIO,10.54,1940,1316000
NEVADA,0,POLIO,0,1940,113000
NEW HAMPSHIRE,5,POLIO,0.8,1940,492000
NEW JERSEY,118,POLIO,2.69,1940,4175000
NEW MEXICO,32,POLIO,5.57,1940,531000
NEW YORK,375,POLIO,2.72,1940,13456000
NORTH CAROLINA,90,POLIO,2.41,1940,3574000
NORTH DAKOTA,23,POLIO,3.29,1940,640000
OHIO,478,POLIO,6.78,1940,6929000
OKLAHOMA,85,POLIO,3.43,1940,2325000
OREGON,57,POLIO,4.96,1940,1086000
PENNSYLVANIA,203,POLIO,2.03,1940,9896000
RHODE ISLAND,9,POLIO,0.91,1940,719000
SOUTH CAROLINA,120,POLIO,6.13,1940,1902000
SOUTH DAKOTA,56,POLIO,8.35,1940,641000
TENNESSEE,52,POLIO,1.64,1940,2935000
TEXAS,175,POLIO,2.65,1940,6425000
UTAH,52,POLIO,8.74,1940,552000
VERMONT,10,POLIO,2.5,1940,363000
VIRGINIA,187,POLIO,6.71,1940,2720000
WASHINGTON,319,POLIO,18.14,1940,1740000
WEST VIRGINIA,432,POLIO,22.41,1940,1907000
WISCONSIN,359,POLIO,11.29,1940,3143000
WYOMING,23,POLIO,8.8,1940,250000
ALABAMA,49,SMALLPOX,1.65,1940,2845000
ARIZONA,81,SMALLPOX,15.61,1940,499000
ARKANSAS,90,SMALLPOX,4.39,1940,1955000
CALIFORNIA,191,SMALLPOX,2.62,1940,6950000
COLORADO,253,SMALLPOX,21.71,1940,1130000
CONNECTICUT,0,SMALLPOX,0,1940,1708000
DELAWARE,0,SMALLPOX,0,1940,269000
DISTRICT OF COLUMBIA,0,SMALLPOX,0,1940,690000
FLORIDA,9,SMALLPOX,0.35,1940,1915000
GEORGIA,16,SMALLPOX,0.42,1940,3119000
IDAHO,44,SMALLPOX,7.76,1940,522000
ILLINOIS,234,SMALLPOX,2.92,1940,7905000
INDIANA,485,SMALLPOX,13.92,1940,3433000
IOWA,555,SMALLPOX,21.59,1940,2537000
KANSAS,78,SMALLPOX,4.09,1940,1788000
KENTUCKY,36,SMALLPOX,1.01,1940,2859000
LOUISIANA,11,SMALLPOX,0.32,1940,2370000
MAINE,0,SMALLPOX,0,1940,849000
MARYLAND,0,SMALLPOX,0,1940,1839000
MASSACHUSETTS,0,SMALLPOX,0,1940,4318000
MICHIGAN,142,SMALLPOX,2.57,1940,5315000
MINNESOTA,321,SMALLPOX,11.44,1940,2790000
MISSISSIPPI,17,SMALLPOX,0.59,1940,2176000
MISSOURI,235,SMALLPOX,6.08,1940,3786000
MONTANA,29,SMALLPOX,4.59,1940,558000
NEBRASKA,89,SMALLPOX,6.5,1940,1316000
NEVADA,0,SMALLPOX,0,1940,113000
NEW HAMPSHIRE,0,SMALLPOX,0,1940,492000
NEW JERSEY,0,SMALLPOX,0,1940,4175000
NEW MEXICO,22,SMALLPOX,3.48,1940,531000
NEW YORK,4,SMALLPOX,0.01,1940,13456000
NORTH CAROLINA,11,SMALLPOX,0.17,1940,3574000
NORTH DAKOTA,104,SMALLPOX,15.65,1940,640000
OHIO,189,SMALLPOX,2.58,1940,6929000
OKLAHOMA,381,SMALLPOX,16.03,1940,2325000
OREGON,130,SMALLPOX,11.62,1940,1086000
PENNSYLVANIA,0,SMALLPOX,0,1940,9896000
RHODE ISLAND,0,SMALLPOX,0,1940,719000
SOUTH CAROLINA,9,SMALLPOX,0.39,1940,1902000
SOUTH DAKOTA,136,SMALLPOX,20.03,1940,641000
TENNESSEE,73,SMALLPOX,2.29,1940,2935000
TEXAS,236,SMALLPOX,3.61,1940,6425000
UTAH,18,SMALLPOX,2.61,1940,552000
VERMONT,0,SMALLPOX,0,1940,363000
VIRGINIA,4,SMALLPOX,0.12,1940,2720000
WASHINGTON,33,SMALLPOX,1.75,1940,1740000
WEST VIRGINIA,13,SMALLPOX,0.57,1940,1907000
WISCONSIN,197,SMALLPOX,6.04,1940,3143000
WYOMING,14,SMALLPOX,3.8,1940,250000
ALABAMA,8634,MEASLES,297.47,1941,2902000
ARIZONA,3015,MEASLES,615.29,1941,490000
ARKANSAS,5393,MEASLES,273.89,1941,1969000
CALIFORNIA,12624,MEASLES,174.42,1941,7237000
COLORADO,7438,MEASLES,661.75,1941,1124000
CONNECTICUT,6366,MEASLES,364.57,1941,1746000
DELAWARE,3489,MEASLES,1268.35,1941,275000
DISTRICT OF COLUMBIA,3730,MEASLES,488.19,1941,764000
FLORIDA,9273,MEASLES,459.76,1941,2017000
GEORGIA,9350,MEASLES,294.12,1941,3179000
IDAHO,511,MEASLES,102.03,1941,501000
ILLINOIS,49021,MEASLES,613.14,1941,7995000
INDIANA,13292,MEASLES,381.63,1941,3483000
IOWA,4930,MEASLES,197.87,1941,2491000
KANSAS,13494,MEASLES,764.47,1941,1765000
KENTUCKY,17242,MEASLES,610.5,1941,2824000
LOUISIANA,871,MEASLES,35.01,1941,2484000
MAINE,4752,MEASLES,557.7,1941,852000
MARYLAND,7352,MEASLES,384.33,1941,1913000
MASSACHUSETTS,20807,MEASLES,474.01,1941,4389000
MICHIGAN,61261,MEASLES,1119.5,1941,5472000
MINNESOTA,961,MEASLES,35.34,1941,2718000
MISSISSIPPI,0,MEASLES,0,1941,2184000
MISSOURI,6676,MEASLES,175.17,1941,3811000
MONTANA,876,MEASLES,161.21,1941,543000
NEBRASKA,441,MEASLES,34.6,1941,1272000
NEVADA,331,MEASLES,275.84,1941,120000
NEW HAMPSHIRE,991,MEASLES,201.98,1941,490000
NEW JERSEY,44436,MEASLES,1044.54,1941,4254000
NEW MEXICO,3938,MEASLES,778.1,1941,506000
NEW YORK,104747,MEASLES,789.51,1941,13267000
NORTH CAROLINA,23632,MEASLES,658.4,1941,3589000
NORTH DAKOTA,1373,MEASLES,223.2,1941,615000
OHIO,78820,MEASLES,1132.77,1941,6958000
OKLAHOMA,2008,MEASLES,88.78,1941,2262000
OREGON,6507,MEASLES,607.51,1941,1071000
PENNSYLVANIA,100230,MEASLES,1011.32,1941,9911000
RHODE ISLAND,422,MEASLES,57.67,1941,731000
SOUTH CAROLINA,9457,MEASLES,481.97,1941,1962000
SOUTH DAKOTA,377,MEASLES,61.34,1941,613000
TENNESSEE,8269,MEASLES,278.13,1941,2973000
TEXAS,20305,MEASLES,308.34,1941,6585000
UTAH,1550,MEASLES,281.09,1941,551000
VERMONT,1339,MEASLES,384.64,1941,348000
VIRGINIA,29558,MEASLES,1035.28,1941,2855000
WASHINGTON,2116,MEASLES,118.23,1941,1789000
WEST VIRGINIA,11165,MEASLES,592.24,1941,1885000
WISCONSIN,31184,MEASLES,993.07,1941,3140000
WYOMING,944,MEASLES,381.73,1941,247000
ALABAMA,1566,PERTUSSIS,53.93,1941,2902000
ARIZONA,1176,PERTUSSIS,239.9,1941,490000
ARKANSAS,1119,PERTUSSIS,56.77,1941,1969000
CALIFORNIA,18973,PERTUSSIS,262.18,1941,7237000
COLORADO,4701,PERTUSSIS,418.14,1941,1124000
CONNECTICUT,2778,PERTUSSIS,159.12,1941,1746000
DELAWARE,276,PERTUSSIS,100.01,1941,275000
DISTRICT OF COLUMBIA,716,PERTUSSIS,93.66,1941,764000
FLORIDA,748,PERTUSSIS,37.08,1941,2017000
GEORGIA,1265,PERTUSSIS,39.71,1941,3179000
IDAHO,598,PERTUSSIS,118.99,1941,501000
ILLINOIS,7603,PERTUSSIS,95.08,1941,7995000
INDIANA,1199,PERTUSSIS,34.44,1941,3483000
IOWA,1633,PERTUSSIS,65.46,1941,2491000
KANSAS,4834,PERTUSSIS,273.91,1941,1765000
KENTUCKY,3416,PERTUSSIS,120.94,1941,2824000
LOUISIANA,393,PERTUSSIS,15.68,1941,2484000
MAINE,1203,PERTUSSIS,141.21,1941,852000
MARYLAND,3585,PERTUSSIS,187.31,1941,1913000
MASSACHUSETTS,9549,PERTUSSIS,217.57,1941,4389000
MICHIGAN,15129,PERTUSSIS,276.47,1941,5472000
MINNESOTA,3469,PERTUSSIS,127.62,1941,2718000
MISSOURI,1782,PERTUSSIS,46.71,1941,3811000
MONTANA,1003,PERTUSSIS,184.69,1941,543000
NEBRASKA,674,PERTUSSIS,52.94,1941,1272000
NEVADA,238,PERTUSSIS,198.31,1941,120000
NEW HAMPSHIRE,460,PERTUSSIS,93.75,1941,490000
NEW JERSEY,6682,PERTUSSIS,157.1,1941,4254000
NEW MEXICO,1123,PERTUSSIS,221.53,1941,506000
NEW YORK,17747,PERTUSSIS,133.77,1941,13267000
NORTH CAROLINA,10228,PERTUSSIS,284.93,1941,3589000
NORTH DAKOTA,881,PERTUSSIS,143.1,1941,615000
OHIO,14861,PERTUSSIS,213.58,1941,6958000
OKLAHOMA,1097,PERTUSSIS,48.5,1941,2262000
OREGON,1069,PERTUSSIS,99.68,1941,1071000
PENNSYLVANIA,15164,PERTUSSIS,153.02,1941,9911000
RHODE ISLAND,1137,PERTUSSIS,155.25,1941,731000
SOUTH CAROLINA,4680,PERTUSSIS,238.47,1941,1962000
SOUTH DAKOTA,585,PERTUSSIS,95.28,1941,613000
TENNESSEE,2572,PERTUSSIS,86.47,1941,2973000
TEXAS,10667,PERTUSSIS,162,1941,6585000
UTAH,2765,PERTUSSIS,501.72,1941,551000
VERMONT,636,PERTUSSIS,182.49,1941,348000
VIRGINIA,4187,PERTUSSIS,146.64,1941,2855000
WASHINGTON,4619,PERTUSSIS,258.12,1941,1789000
WEST VIRGINIA,2264,PERTUSSIS,120.01,1941,1885000
WISCONSIN,8984,PERTUSSIS,286.11,1941,3140000
WYOMING,379,PERTUSSIS,152.97,1941,247000
ALABAMA,796,POLIO,27.43,1941,2902000
ARIZONA,13,POLIO,2.63,1941,490000
ARKANSAS,54,POLIO,2.68,1941,1969000
CALIFORNIA,217,POLIO,2.97,1941,7237000
COLORADO,28,POLIO,2.51,1941,1124000
CONNECTICUT,108,POLIO,6.2,1941,1746000
DELAWARE,21,POLIO,7.45,1941,275000
DISTRICT OF COLUMBIA,66,POLIO,8.56,1941,764000
FLORIDA,254,POLIO,12.54,1941,2017000
GEORGIA,709,POLIO,22.27,1941,3179000
IDAHO,16,POLIO,3,1941,501000
ILLINOIS,392,POLIO,4.92,1941,7995000
INDIANA,116,POLIO,3.3,1941,3483000
IOWA,63,POLIO,2.52,1941,2491000
KANSAS,58,POLIO,3.29,1941,1765000
KENTUCKY,208,POLIO,7.39,1941,2824000
LOUISIANA,65,POLIO,2.56,1941,2484000
MAINE,42,POLIO,4.92,1941,852000
MARYLAND,227,POLIO,11.81,1941,1913000
MASSACHUSETTS,172,POLIO,3.89,1941,4389000
MICHIGAN,278,POLIO,5.11,1941,5472000
MINNESOTA,256,POLIO,9.4,1941,2718000
MISSISSIPPI,154,POLIO,7.07,1941,2184000
MISSOURI,40,POLIO,1.08,1941,3811000
MONTANA,29,POLIO,5.28,1941,543000
NEBRASKA,16,POLIO,1.23,1941,1272000
NEVADA,0,POLIO,0,1941,120000
NEW HAMPSHIRE,30,POLIO,6.1,1941,490000
NEW JERSEY,336,POLIO,7.87,1941,4254000
NEW MEXICO,8,POLIO,1.6,1941,506000
NEW YORK,1104,POLIO,8.34,1941,13267000
NORTH CAROLINA,138,POLIO,3.84,1941,3589000
NORTH DAKOTA,21,POLIO,3.32,1941,615000
OHIO,461,POLIO,6.58,1941,6958000
OKLAHOMA,49,POLIO,2.06,1941,2262000
OREGON,82,POLIO,7.57,1941,1071000
PENNSYLVANIA,677,POLIO,6.83,1941,9911000
RHODE ISLAND,25,POLIO,3.43,1941,731000
SOUTH CAROLINA,154,POLIO,7.77,1941,1962000
SOUTH DAKOTA,32,POLIO,5.02,1941,613000
TENNESSEE,495,POLIO,16.63,1941,2973000
TEXAS,114,POLIO,1.8,1941,6585000
UTAH,42,POLIO,7.41,1941,551000
VERMONT,14,POLIO,3.89,1941,348000
VIRGINIA,152,POLIO,5.43,1941,2855000
WASHINGTON,93,POLIO,5.2,1941,1789000
WEST VIRGINIA,64,POLIO,3.38,1941,1885000
WISCONSIN,132,POLIO,4.19,1941,3140000
WYOMING,15,POLIO,5.83,1941,247000
ALABAMA,12,SMALLPOX,0.34,1941,2902000
ARIZONA,16,SMALLPOX,3.15,1941,490000
ARKANSAS,33,SMALLPOX,1.59,1941,1969000
CALIFORNIA,13,SMALLPOX,0.14,1941,7237000
COLORADO,51,SMALLPOX,4.4,1941,1124000
CONNECTICUT,0,SMALLPOX,0,1941,1746000
DELAWARE,0,SMALLPOX,0,1941,275000
DISTRICT OF COLUMBIA,0,SMALLPOX,0,1941,764000
FLORIDA,2,SMALLPOX,0.04,1941,2017000
GEORGIA,11,SMALLPOX,0.34,1941,3179000
IDAHO,10,SMALLPOX,1.8,1941,501000
ILLINOIS,122,SMALLPOX,1.53,1941,7995000
INDIANA,52,SMALLPOX,1.44,1941,3483000
IOWA,122,SMALLPOX,4.82,1941,2491000
KANSAS,34,SMALLPOX,1.9,1941,1765000
KENTUCKY,21,SMALLPOX,0.77,1941,2824000
LOUISIANA,9,SMALLPOX,0.32,1941,2484000
MAINE,0,SMALLPOX,0,1941,852000
MARYLAND,0,SMALLPOX,0,1941,1913000
MASSACHUSETTS,0,SMALLPOX,0,1941,4389000
MICHIGAN,96,SMALLPOX,1.74,1941,5472000
MINNESOTA,123,SMALLPOX,4.48,1941,2718000
MISSISSIPPI,20,SMALLPOX,0.85,1941,2184000
MISSOURI,129,SMALLPOX,3.42,1941,3811000
MONTANA,4,SMALLPOX,0.72,1941,543000
NEBRASKA,11,SMALLPOX,0.8,1941,1272000
NEVADA,3,SMALLPOX,2.49,1941,120000
NEW HAMPSHIRE,0,SMALLPOX,0,1941,490000
NEW JERSEY,0,SMALLPOX,0,1941,4254000
NEW MEXICO,7,SMALLPOX,1.2,1941,506000
NEW YORK,0,SMALLPOX,0,1941,13267000
NORTH CAROLINA,3,SMALLPOX,0.09,1941,3589000
NORTH DAKOTA,12,SMALLPOX,1.86,1941,615000
OHIO,19,SMALLPOX,0.24,1941,6958000
OKLAHOMA,39,SMALLPOX,1.65,1941,2262000
OREGON,62,SMALLPOX,5.61,1941,1071000
PENNSYLVANIA,0,SMALLPOX,0,1941,9911000
RHODE ISLAND,0,SMALLPOX,0,1941,731000
SOUTH CAROLINA,9,SMALLPOX,0.43,1941,1962000
SOUTH DAKOTA,64,SMALLPOX,10.44,1941,613000
TENNESSEE,33,SMALLPOX,1.04,1941,2973000
TEXAS,52,SMALLPOX,0.81,1941,6585000
UTAH,1,SMALLPOX,0.18,1941,551000
VERMONT,0,SMALLPOX,0,1941,348000
VIRGINIA,1,SMALLPOX,0.04,1941,2855000
WASHINGTON,31,SMALLPOX,1.76,1941,1789000
WEST VIRGINIA,7,SMALLPOX,0.34,1941,1885000
WISCONSIN,164,SMALLPOX,5.15,1941,3140000
WYOMING,3,SMALLPOX,1,1941,247000
ALABAMA,3712,MEASLES,126.15,1942,2941000
ARIZONA,3884,MEASLES,740.83,1942,524000
ARKANSAS,4602,MEASLES,232.7,1942,1977000
CALIFORNIA,94525,MEASLES,1222.01,1942,7735000
COLORADO,5628,MEASLES,505.49,1942,1113000
CONNECTICUT,10537,MEASLES,587.88,1942,1792000
DELAWARE,253,MEASLES,90.16,1942,279000
DISTRICT OF COLUMBIA,1624,MEASLES,190.76,1942,851000
FLORIDA,4081,MEASLES,189.61,1942,2151000
GEORGIA,5417,MEASLES,168.74,1942,3209000
IDAHO,1890,MEASLES,395.08,1942,478000
ILLINOIS,10693,MEASLES,132.69,1942,8057000
INDIANA,3333,MEASLES,94.99,1942,3507000
IOWA,6217,MEASLES,254.79,1942,2439000
KANSAS,9423,MEASLES,535.23,1942,1760000
KENTUCKY,2353,MEASLES,84.08,1942,2797000
LOUISIANA,3150,MEASLES,123.74,1942,2546000
MAINE,4537,MEASLES,540.61,1942,839000
MARYLAND,10695,MEASLES,535.19,1942,1998000
MASSACHUSETTS,24688,MEASLES,564.89,1942,4370000
MICHIGAN,9343,MEASLES,168.35,1942,5549000
MINNESOTA,15113,MEASLES,567.73,1942,2662000
MISSISSIPPI,0,MEASLES,0,1942,2210000
MISSOURI,6842,MEASLES,178.71,1942,3829000
MONTANA,3050,MEASLES,588.48,1942,518000
NEBRASKA,5311,MEASLES,428.55,1942,1239000
NEVADA,1114,MEASLES,811.69,1942,137000
NEW HAMPSHIRE,806,MEASLES,167.14,1942,481000
NEW JERSEY,13842,MEASLES,322.1,1942,4297000
NEW MEXICO,1586,MEASLES,315.64,1942,502000
NEW YORK,24865,MEASLES,191.24,1942,13002000
NORTH CAROLINA,20163,MEASLES,564.86,1942,3569000
NORTH DAKOTA,1599,MEASLES,274.08,1942,583000
OHIO,8857,MEASLES,127.08,1942,6969000
OKLAHOMA,5781,MEASLES,260.92,1942,2215000
OREGON,5526,MEASLES,499.14,1942,1107000
PENNSYLVANIA,36915,MEASLES,380.42,1942,9704000
RHODE ISLAND,4559,MEASLES,609.25,1942,748000
SOUTH CAROLINA,4381,MEASLES,218.23,1942,2007000
SOUTH DAKOTA,844,MEASLES,143.09,1942,589000
TENNESSEE,3127,MEASLES,106.34,1942,2939000
TEXAS,34717,MEASLES,517.23,1942,6711000
UTAH,14888,MEASLES,2589.06,1942,575000
VERMONT,3677,MEASLES,1071.29,1942,343000
VIRGINIA,5398,MEASLES,177.59,1942,3038000
WASHINGTON,12276,MEASLES,645.64,1942,1901000
WEST VIRGINIA,5564,MEASLES,303.79,1942,1831000
WISCONSIN,23870,MEASLES,781.79,1942,3053000
WYOMING,1596,MEASLES,635.27,1942,251000
ALABAMA,1640,PERTUSSIS,55.64,1942,2941000
ARIZONA,1073,PERTUSSIS,204.42,1942,524000
ARKANSAS,917,PERTUSSIS,46.2,1942,1977000
CALIFORNIA,12034,PERTUSSIS,155.53,1942,7735000
COLORADO,1810,PERTUSSIS,162.44,1942,1113000
CONNECTICUT,3909,PERTUSSIS,217.94,1942,1792000
DELAWARE,152,PERTUSSIS,53.47,1942,279000
DISTRICT OF COLUMBIA,928,PERTUSSIS,108.89,1942,851000
FLORIDA,820,PERTUSSIS,38,1942,2151000
GEORGIA,1288,PERTUSSIS,40.06,1942,3209000
IDAHO,250,PERTUSSIS,51.8,1942,478000
ILLINOIS,11076,PERTUSSIS,137.42,1942,8057000
INDIANA,1885,PERTUSSIS,53.71,1942,3507000
IOWA,1246,PERTUSSIS,51,1942,2439000
KANSAS,2508,PERTUSSIS,142.27,1942,1760000
KENTUCKY,3013,PERTUSSIS,107.62,1942,2797000
LOUISIANA,317,PERTUSSIS,12.38,1942,2546000
MAINE,1871,PERTUSSIS,222.65,1942,839000
MARYLAND,3084,PERTUSSIS,154.13,1942,1998000
MASSACHUSETTS,10525,PERTUSSIS,240.83,1942,4370000
MICHIGAN,11283,PERTUSSIS,203.25,1942,5549000
MINNESOTA,2389,PERTUSSIS,89.61,1942,2662000
MISSISSIPPI,0,PERTUSSIS,0,1942,2210000
MISSOURI,842,PERTUSSIS,21.9,1942,3829000
MONTANA,980,PERTUSSIS,188.89,1942,518000
NEBRASKA,458,PERTUSSIS,36.73,1942,1239000
NEVADA,181,PERTUSSIS,131.02,1942,137000
NEW HAMPSHIRE,311,PERTUSSIS,64.14,1942,481000
NEW JERSEY,11596,PERTUSSIS,269.84,1942,4297000
NEW MEXICO,1034,PERTUSSIS,205.4,1942,502000
NEW YORK,21160,PERTUSSIS,162.71,1942,13002000
NORTH CAROLINA,6001,PERTUSSIS,168.11,1942,3569000
NORTH DAKOTA,527,PERTUSSIS,89.95,1942,583000
OHIO,10287,PERTUSSIS,147.58,1942,6969000
OKLAHOMA,540,PERTUSSIS,24.31,1942,2215000
OREGON,1060,PERTUSSIS,95.49,1942,1107000
PENNSYLVANIA,13035,PERTUSSIS,134.27,1942,9704000
RHODE ISLAND,1555,PERTUSSIS,207.68,1942,748000
SOUTH CAROLINA,2857,PERTUSSIS,142.23,1942,2007000
SOUTH DAKOTA,242,PERTUSSIS,40.85,1942,589000
TENNESSEE,1928,PERTUSSIS,65.53,1942,2939000
TEXAS,7750,PERTUSSIS,115.42,1942,6711000
UTAH,1503,PERTUSSIS,260.85,1942,575000
VERMONT,2079,PERTUSSIS,605.24,1942,343000
VIRGINIA,2574,PERTUSSIS,84.65,1942,3038000
WASHINGTON,3001,PERTUSSIS,157.74,1942,1901000
WEST VIRGINIA,1400,PERTUSSIS,76.22,1942,1831000
WISCONSIN,10441,PERTUSSIS,341.95,1942,3053000
WYOMING,347,PERTUSSIS,137.49,1942,251000
ALABAMA,139,POLIO,4.61,1942,2941000
ARIZONA,28,POLIO,5.23,1942,524000
ARKANSAS,127,POLIO,6.33,1942,1977000
CALIFORNIA,281,POLIO,3.63,1942,7735000
COLORADO,38,POLIO,3.32,1942,1113000
CONNECTICUT,45,POLIO,2.47,1942,1792000
DELAWARE,15,POLIO,5.4,1942,279000
DISTRICT OF COLUMBIA,13,POLIO,1.42,1942,851000
FLORIDA,50,POLIO,2.31,1942,2151000
GEORGIA,97,POLIO,2.97,1942,3209000
IDAHO,5,POLIO,1.05,1942,478000
ILLINOIS,454,POLIO,5.59,1942,8057000
INDIANA,82,POLIO,2.32,1942,3507000
IOWA,61,POLIO,2.41,1942,2439000
KANSAS,95,POLIO,5.35,1942,1760000
KENTUCKY,123,POLIO,4.41,1942,2797000
LOUISIANA,49,POLIO,1.83,1942,2546000
MAINE,34,POLIO,4.01,1942,839000
MARYLAND,34,POLIO,1.66,1942,1998000
MASSACHUSETTS,46,POLIO,0.99,1942,4370000
MICHIGAN,138,POLIO,2.48,1942,5549000
MINNESOTA,80,POLIO,2.98,1942,2662000
MISSISSIPPI,66,POLIO,2.88,1942,2210000
MISSOURI,77,POLIO,2.03,1942,3829000
MONTANA,14,POLIO,2.32,1942,518000
NEBRASKA,105,POLIO,8.42,1942,1239000
NEVADA,3,POLIO,2.19,1942,137000
NEW HAMPSHIRE,17,POLIO,3.22,1942,481000
NEW JERSEY,220,POLIO,5.08,1942,4297000
NEW MEXICO,25,POLIO,4.9,1942,502000
NEW YORK,332,POLIO,2.58,1942,13002000
NORTH CAROLINA,83,POLIO,2.34,1942,3569000
NORTH DAKOTA,17,POLIO,2.73,1942,583000
OHIO,172,POLIO,2.46,1942,6969000
OKLAHOMA,17,POLIO,0.71,1942,2215000
OREGON,28,POLIO,2.48,1942,1107000
PENNSYLVANIA,155,POLIO,1.57,1942,9704000
RHODE ISLAND,8,POLIO,0.93,1942,748000
SOUTH CAROLINA,70,POLIO,3.38,1942,2007000
SOUTH DAKOTA,20,POLIO,3.04,1942,589000
TENNESSEE,166,POLIO,5.54,1942,2939000
TEXAS,235,POLIO,3.38,1942,6711000
UTAH,28,POLIO,4.67,1942,575000
VERMONT,28,POLIO,8,1942,343000
VIRGINIA,52,POLIO,1.64,1942,3038000
WASHINGTON,30,POLIO,1.58,1942,1901000
WEST VIRGINIA,44,POLIO,2.27,1942,1831000
WISCONSIN,45,POLIO,1.38,1942,3053000
